Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
pos2pos_sim: 0.9016, pos2neg_sim: 0.0264
pos2pos_sim: 0.9139, pos2neg_sim: 0.0083
pos2pos_sim: 0.9066, pos2neg_sim: 0.0098
pos2pos_sim: 0.9106, pos2neg_sim: 0.0304
pos2pos_sim: 0.9162, pos2neg_sim: 0.0234
pos2pos_sim: 0.9013, pos2neg_sim: 0.0144
pos2pos_sim: 0.8981, pos2neg_sim: 0.0156
pos2pos_sim: 0.9035, pos2neg_sim: 0.0125
pos2pos_sim: 0.9144, pos2neg_sim: 0.0137
pos2pos_sim: 0.9038, pos2neg_sim: 0.0297
pos2pos_sim: 0.8994, pos2neg_sim: 0.0287
pos2pos_sim: 0.8881, pos2neg_sim: 0.0181
pos2pos_sim: 0.8937, pos2neg_sim: 0.0074
pos2pos_sim: 0.9076, pos2neg_sim: 0.0190
pos2pos_sim: 0.9075, pos2neg_sim: 0.0199
pos2pos_sim: 0.9113, pos2neg_sim: 0.0156
pos2pos_sim: 0.8968, pos2neg_sim: 0.0198
pos2pos_sim: 0.9041, pos2neg_sim: 0.0186
pos2pos_sim: 0.8834, pos2neg_sim: 0.0110
pos2pos_sim: 0.8967, pos2neg_sim: 0.0299
pos2pos_sim: 0.9048, pos2neg_sim: 0.0137
pos2pos_sim: 0.9057, pos2neg_sim: 0.0129
pos2pos_sim: 0.9058, pos2neg_sim: 0.0096
pos2pos_sim: 0.8957, pos2neg_sim: 0.0094
pos2pos_sim: 0.9080, pos2neg_sim: 0.0201
pos2pos_sim: 0.9079, pos2neg_sim: 0.0177
pos2pos_sim: 0.8961, pos2neg_sim: 0.0260
pos2pos_sim: 0.8938, pos2neg_sim: 0.0198
pos2pos_sim: 0.8978, pos2neg_sim: 0.0261
pos2pos_sim: 0.8965, pos2neg_sim: 0.0147
pos2pos_sim: 0.9004, pos2neg_sim: 0.0189
pos2pos_sim: 0.9152, pos2neg_sim: 0.0169
pos2pos_sim: 0.9136, pos2neg_sim: 0.0147
pos2pos_sim: 0.8927, pos2neg_sim: 0.0120
pos2pos_sim: 0.8941, pos2neg_sim: 0.0135
pos2pos_sim: 0.9050, pos2neg_sim: 0.0212
pos2pos_sim: 0.8957, pos2neg_sim: 0.0146
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Ep1/60  Loss: 0.1990  pos2pos_sim_loss: 0.1699
Evaluation results:
  Pos Similarity: 0.8447
  Neg Similarity: -0.7204
visualize_examples
==================================================
CLIP-Lens Prediction Examples
==================================================

Input: This image shows a person, but no motorbike is included.
Top positive objects:
  - motorbike: 0.8383
  - person: 0.8177
  - car: 0.8022
  - woman: 0.7921
  - bird: 0.7890
Top negative objects:
  - woman: -0.2737
  - plate: -0.2759
  - bench: -0.2790
  - camera: -0.2864
  - person: -0.2934
--------------------------------------------------

Input: This image features a car, but no knife is present.
Top positive objects:
  - car: 0.8362
  - knife: 0.8209
  - bus: 0.7753
  - person: 0.7621
  - bird: 0.7608
Top negative objects:
  - woman: -0.2750
  - plate: -0.2758
  - bench: -0.2790
  - camera: -0.2859
  - person: -0.2945
--------------------------------------------------

Input: A bus is included, while a car is absent.
Top positive objects:
  - bus: 0.7860
  - car: 0.7741
  - person: 0.7241
  - bird: 0.7170
  - knife: 0.7150
Top negative objects:
  - woman: -0.2388
  - plate: -0.2440
  - bench: -0.2511
  - camera: -0.2554
  - person: -0.2566
--------------------------------------------------

Input: A bird is present in this image, with no person in sight.
Top positive objects:
  - bird: 0.8419
  - person: 0.7588
  - knife: 0.7493
  - car: 0.7475
  - camera: 0.7445
Top negative objects:
  - woman: -0.2738
  - plate: -0.2740
  - bench: -0.2775
  - camera: -0.2840
  - person: -0.2931
--------------------------------------------------
Ep2/60  Loss: 0.1828  pos2pos_sim_loss: 0.1610
Evaluation results:
  Pos Similarity: 0.8531
  Neg Similarity: -0.7027
Ep3/60  Loss: 0.1723  pos2pos_sim_loss: 0.1529
Evaluation results:
  Pos Similarity: 0.8222
  Neg Similarity: -0.7589
Ep4/60  Loss: 0.1689  pos2pos_sim_loss: 0.1499
Evaluation results:
  Pos Similarity: 0.8669
  Neg Similarity: -0.6884
Ep5/60  Loss: 0.1641  pos2pos_sim_loss: 0.1457
Evaluation results:
  Pos Similarity: 0.8578
  Neg Similarity: -0.6539
Ep6/60  Loss: 0.1607  pos2pos_sim_loss: 0.1430
Evaluation results:
  Pos Similarity: 0.8740
  Neg Similarity: -0.6256
Ep7/60  Loss: 0.1576  pos2pos_sim_loss: 0.1399
Evaluation results:
  Pos Similarity: 0.8607
  Neg Similarity: -0.6353
Ep8/60  Loss: 0.1544  pos2pos_sim_loss: 0.1373
Evaluation results:
  Pos Similarity: 0.8600
  Neg Similarity: -0.6021
Ep9/60  Loss: 0.1513  pos2pos_sim_loss: 0.1353
Evaluation results:
  Pos Similarity: 0.8454
  Neg Similarity: -0.6572
Ep10/60  Loss: 0.1500  pos2pos_sim_loss: 0.1336
Evaluation results:
  Pos Similarity: 0.8768
  Neg Similarity: -0.5405
Ep11/60  Loss: 0.1485  pos2pos_sim_loss: 0.1321
Evaluation results:
  Pos Similarity: 0.8763
  Neg Similarity: -0.5186
visualize_examples
==================================================
CLIP-Lens Prediction Examples
==================================================

Input: This image shows a person, but no motorbike is included.
Top positive objects:
  - motorbike: 0.8556
  - person: 0.8477
  - woman: 0.8205
  - car: 0.8159
  - bus: 0.8125
Top negative objects:
  - bench: -0.2333
  - camera: -0.2599
  - plate: -0.2715
  - screwdriver: -0.2757
  - woman: -0.2762
--------------------------------------------------

Input: This image features a car, but no knife is present.
Top positive objects:
